Participant;Timestamp;Activity;Valence;Arousal;Dominance;Progress;Status;Notes
p5;1568010991;;;;;;POPUP_OPENED;
p5;1568011046;Just arrived;2;2;5;Average;POPUP_CLOSED;traffic congestion
p5;1568014737;;;;;;POPUP_OPENED;
p5;1568014773;Learning;4;3;4;Average;POPUP_CLOSED;
p5;1568018378;;;;;;POPUP_OPENED;
p5;1568018425;Design;4;3;3;Average;POPUP_CLOSED;
p5;1568022029;;;;;;POPUP_OPENED;
p5;1568022065;Design;4;4;4;Average;POPUP_CLOSED;
p5;1568025671;;;;;;POPUP_OPENED;
p5;1568025704;Testing;3;4;4;Above average;POPUP_CLOSED;
p5;1568029307;;;;;;POPUP_OPENED;
p5;1568029332;Design;4;4;4;Average;POPUP_CLOSED;
p5;1568033541;;;;;;POPUP_OPENED;
p5;1568033556;Testing;5;4;5;Above average;POPUP_CLOSED;
p5;1568037161;;;;;;POPUP_OPENED;
p5;1568037182;Email;4;4;5;Above average;POPUP_CLOSED;
p5;1568096891;;;;;;POPUP_OPENED;
p5;1568096915;Just arrived;3;2;4;Average;POPUP_CLOSED;
p5;1568098376;;;;;;POPUP_OPENED;
p5;1568098390;Meeting;4;3;4;Above average;POPUP_CLOSED;
p5;1568098967;;;;;;POPUP_OPENED;
p5;1568099001;Testing;3;3;3;Average;POPUP_CLOSED;
p5;1568104066;;;;;;POPUP_OPENED;
p5;1568104113;Coding;4;3;4;Above average;POPUP_CLOSED;
p5;1568107716;;;;;;POPUP_OPENED;
p5;1568107745;Design;4;4;4;Average;POPUP_CLOSED;
p5;1568113147;;;;;;POPUP_OPENED;
p5;1568113167;Meeting;4;4;4;Above average;POPUP_CLOSED;
p5;1568116783;;;;;;POPUP_OPENED;
p5;1568116802;Testing;5;4;5;Above average;POPUP_CLOSED;
p5;1568120756;;;;;;POPUP_OPENED;
p5;1568120783;Meeting;3;3;4;Average;POPUP_CLOSED;
p5;1568126256;;;;;;POPUP_OPENED;
p5;1568126300;Just arrived;4;3;4;Average;POPUP_CLOSED;
p5;1568182746;;;;;;POPUP_OPENED;
p5;1568182768;Just arrived;3;2;5;Average;POPUP_CLOSED;
p5;1568187647;;;;;;POPUP_OPENED;
p5;1568187664;Coding;5;4;5;Average;POPUP_CLOSED;
p5;1568191423;;;;;;POPUP_OPENED;
p5;1568191438;Coding;4;3;5;Very high;POPUP_CLOSED;
p5;1568195474;;;;;;POPUP_OPENED;
p5;1568195500;Bugfixing;3;2;5;Average;POPUP_CLOSED;
p5;1568199105;;;;;;POPUP_OPENED;
p5;1568199148;Bugfixing;4;2;4;Above average;POPUP_CLOSED;
p5;1568202751;;;;;;POPUP_OPENED;
p5;1568202767;Coding;4;5;4;Above average;POPUP_CLOSED;
p5;1568206645;;;;;;POPUP_OPENED;
p5;1568206695;Design;5;4;5;Average;POPUP_CLOSED;
p5;1568355821;;;;;;POPUP_OPENED;
p5;1568355839;Just arrived;4;3;4;Average;POPUP_CLOSED;
p5;1568360120;;;;;;POPUP_OPENED;
p5;1568360157;Bugfixing;4;3;4;Average;POPUP_CLOSED;
p5;1568370465;;;;;;POPUP_OPENED;
p5;1568370480;Just arrived;5;2;4;Below average;POPUP_CLOSED;
p5;1568374653;;;;;;POPUP_OPENED;
p5;1568374679;Meeting;5;4;4;Below average;POPUP_CLOSED;
p5;1568379170;;;;;;POPUP_OPENED;
p5;1568379185;Meeting;4;5;4;Average;POPUP_CLOSED;
p5;1568382787;;;;;;POPUP_OPENED;
